id_NUMBER,ITEM_NAME,TITLE,MAKER,DATE_MADE,PLACE_MADE,MATERIALS,MEASUREMENTS,DESCRIPTION,WHOLE_PART,COLLECTION
1960-1,electrically-driven pendulum master clock,"""Magneta"" non-battery electric master clock movement with ch",,,,,,"""Magneta"" non-battery electric master clock movement with chains and weights, and small name plate and driving weight",WHOLE,SCM - Time Measurement
1960-206,,Panel of diagrams showing the working of the Hamilton electr,Ingersoll Ltd. (maker),,,,,Panel of diagrams showing the working of the Hamilton electric watch,WHOLE,SCM - Time Measurement
1960-242,,Watch No,American Waltham Watch Company,,"Waltham, Middlesex county, Massachusetts, United States",,,"Watch No.14743616, in gold hunter case, by the American Waltham Watch Co.",WHOLE,SCM - Time Measurement
1960-243,,Swiss calendar lever watch with Italian dial,,,,,,Swiss calendar lever watch with Italian dial,WHOLE,SCM - Time Measurement
1961-21,diagram,Animated diagram illustrating the principle of the N.P.L. ca,Science Museum,1961,"London, Greater London, England, United Kingdom",,,Animated diagram illustrating the principle of the N.P.L. caesium atomic clock,WHOLE,SCM - Time Measurement
1962-59,atomic clocks,"Caesium atomic clock, 1955.",National Physical Laboratory (Great Britain),1955,Teddington; Greater London; Richmond upon Thames; England,,overall: 1800 x 700 x 2000 mm (approximate),NPL caesium atomic clock of 1955 (less associated electronic equipment),WHOLE,SCM - Time Measurement
1965-181,electric time recorder,Model 886-2D Super-electric Time Recorder no.651453 (number,International Time Recording Company Ltd.,,"London, Greater London, England, United Kingdom",,"overall: 170 mm x 160 mm x 275 mm,","Model 886-2D Super-electric Time Recorder no.651453 (number on label; 651455 handwritten on housing), with case and cards. Another label gives model number as 8500, which IBM lists as 'front print all-electric metal case card recorder series'.",WHOLE,SCM - Time Measurement
1965-182,time recorder,"Time Stamp for Stamping the Time on Documents, 1950-1959",International Time Recording Company Ltd.,1950-1959,"London, Greater London, England, United Kingdom",steel (metal); cork,"overall: 150 mm x 260 mm x 90 mm,","Model 7500-2D Printime Stamp no.756616 ('stapler' design), 1950-1959.  It was part of the Minute Impulse Time System and was used to stamp the exact time on documents.",WHOLE,SCM - Time Measurement
1964-254,,Japanese pillar timepiece,,,,,"overall: 385 mm x 57 mm x 50 mm,",Japanese pillar timepiece. (Hour indicator and two hour-marks and wheel missing. Glass and wood hood damaged beyond repair),WHOLE,SCM - Time Measurement
1964-301,photographs,Photograph of S.S. 'Chitral',Unknown maker,1950-1964,Unknown place,paper (fibre product); medium density fibreboard (MDF),"overall: 20 mm x 233 mm x 126 mm, weight: 0.32kg","Photograph of S.S. 'Chitral', mounted onto block of MDF, unsigned, unknown provenance, 1950-1964 (see note).",WHOLE,SCM - Time Measurement
1953-55,wrist-watch,Automatic Wrist-watch,Jaeger-LeCoultre,1953,"Geneva, Switzerland",leather; stainless steel; plastic (unidentified); steel,"overall: 10 mm x 181 mm x 35 mm, 0.03kg","Automatic Wrist-watch, Jaeger-LeCoultre, Geneva, Switzerland,  with reserve power indicator complete in steel case, 1953. Back numbered 564556.",WHOLE,SCM - Time Measurement
1953-56,watch movement,Automatic watch movement,Jaeger-LeCoultre,1953,"Geneva, Geneva canton, Switzerland",,,"Automatic watch movement, Jaeger-LeCoultre, 1953, Geneva, Switzerland, showing self-winding mechanism",WHOLE,SCM - Time Measurement
1953-91,,Electro-magnetically driven balance-wheel clock,,,,,,Electro-magnetically driven balance-wheel clock,WHOLE,SCM - Time Measurement
1953-237,string style horizontal sundial; sundial,Korean pocket compass and sundial,Unknown maker,1780-1880,Korea,"metal (unknown); enamel; brass (copper, zinc alloy); string; glass","overall: 26 mm x 68 mm x 101 mm, weight: 0.085kg","Pocket compass sundial, with Chinese and Arabic numerals, (compass needle missing), made in Korea, 1780-1880.",WHOLE,SCM - Time Measurement
1953-299,sand glass,Single sand-glass in double leather mount. 15 mins. Abbot Ho,,,,glass; powder; emery; mounted; leather; timer; portable,,Single sand-glass in double leather mount. 15 mins. Abbot Horne No.13. Type A.,WHOLE,SCM - Time Measurement
1953-301,sand glass,"Sand Glass in Cylindrical Brass Mount,",Unknown maker,1601-1700,Europe,"glass; sand; brass (copper, zinc alloy); string","overall: 99 mm x 45 mm, weight: 0.1kg","Single sand-glass in double cylindrical brass mount. Initials IHS engraved. 9 mins. Abbot Horne No.34. Type A. Unsigned, Europe, 1601-1700.",WHOLE,SCM - Time Measurement
1953-302,sand glass,Single sand-glass in ebony mount with ornamental columns and,,,,glass; ebony; ivory; columnar; cylindrical; turned; ornament; timer; mounted,,Single sand-glass in ebony mount with ornamental columns and ivory feet. 27 mins. Abbot Horne. No.101. Type A.,WHOLE,SCM - Time Measurement
1953-303,sand glass,"Sand Glass in Cylindrical Brass Case, Unsigned, 1601-1700",Unknown maker,1601-1700,Europe,"glass; sand; brass (copper, zinc alloy); thread",overall: 0.15kg,"Single sand-glass in double cylindrical brass case, 12½ mins, Abbot Horne. No.106. Type A, unsigned, Europe, 1601-1700.",WHOLE,SCM - Time Measurement
1953-304,sand glass,"Sand Glass Separated into Parts and Displayed on a Mount, 1890-1950",Unknown maker,1890-1950,United Kingdom,wood (unidentified); glass,"overall: 62 mm x 165 mm x 75 mm,0.15kg","Single glass dismantled (2 bulbs and one diaphragm), Abbot Horne, No. -  Type A, 1890-1950",WHOLE,SCM - Time Measurement
1953-307,sand glass,Single sand-glass in silver mount (hall-mark 1799) with init,,hallmarked 1799,,portable; glass; powder; emery; silver; hallmark; initials (abbreviations); engraved; timer; mounted,,Single sand-glass in silver mount (hall-mark 1799) with initials MB engraved on one end. 4 mins. Abbot Horne. No.33. Type B.,WHOLE,SCM - Time Measurement
1953-308,sand glass,"Unmounted Sand Glass with Corked Entry Hole, Unsigned, 1890-1950",Unknown maker,1890-1950,United Kingdom,glass; sand; cork,"overall: 130 mm 55 mm, 0.1kg","Single sand-glass unmounted, showing corked entry hole. 2 1/2 mins. Abbot Horne. Type B, 1890-1950",WHOLE,SCM - Time Measurement
1953-310,sand glass,"Sand Glass in Tipping Iron Mount, Unsigned, 1780-1850",Unknown maker,1780-1850,Europe,glass; sand; mounted; iron; tilted; brass (alloy); timer,"overall: 88 mm x 55 mm x 55 mm, 0.05kg","Single sand-glass in tipping iron mount, of 2.5 mins, 1780-1850. Abbot Horne. No.109. Type C.",WHOLE,SCM - Time Measurement
1938-377,calendar,Brass Perpetual Calendar,,1790-1860,"England, United Kingdom","brass (copper, zinc alloy)","overall: 3 mm x 42 mm, weight: 0.025kg","Perpetual calendar, brass, unsigned, England, 1790-1860.",WHOLE,SCM - Time Measurement
1938-378,,"Perpetual calendar, in brass box, German",,,,,,"Perpetual calendar, in brass box, German",WHOLE,SCM - Time Measurement
1940-15,escapement; astronomical clock; regulator clock,"English Reifler escapement astronomical clock, complete with","Cottingham, E. T.; Thomas Mercer and Company",1923-1925,"St Albans, Hertfordshire, England, United Kingdom",,overall: 465 mm x 340 mm,"English Reifler escapement astronomical clock, complete with accessories (including fixing bolts, two eights, a thermometer case and a brass eyepiece by WG Pye & Co with graduating scale from 1 to 100) and one spare glass dome. Made by Thomas Mercer & Co, St. Albans, to the original designs, and under the supervision, of E. T. Cottingham. Exhibited at the first British Empire Exhibition, 1924-1925.",WHOLE,SCM - Time Measurement
1940-30,,"Three photographs, each 10"" x 8"", illustrating condition of",,,,,,"Three photographs, each 10"" x 8"", illustrating condition of balances and balance-springs of watches after removal from a magnetic field",WHOLE,SCM - Time Measurement
1942-21,hourglass,24 inch hour glass with baluster supports,,,,overall: glass; mount: wood,overall: 610 mm,24 inch hour glass with baluster supports,WHOLE,SCM - Time Measurement
1942-23,sandglasses; hourglasses,"A set of four sandglasses in a brass frame, probably 17th century.",,1601-1700,Europe,glass; sand; brass,,17th century Italian four-way hour glass with brass stand,WHOLE,SCM - Time Measurement
1942-58,table clock; spring-driven balance wheel clock,Square brass table clock,Unknown maker,1674-1700,Europe,"brass (copper, zinc alloy); glass; steel (metal)","overall: 93 mm x 88.9 mm, weight: 1.12kg","3½-inch brass square table clock, glass sides, verge escapement; unsigned, Europe, 1674-1700.",WHOLE,SCM - Time Measurement
1943-20,crescent equinoctial sundial; perpetual calendar,Combination pocket sundial and perpetual calendar by Johann,"Martin, Johann",1671-1720,"Augsburg, Schwaben, Bavaria, Germany",metal,,"Combination pocket sundial and perpetual calendar by Johann Martin, Augsburg, in case.",WHOLE,SCM - Time Measurement
1943-21,perpetual calendar,"Silver perpetual calendar, dated 1765",,1765,,overall: silver,,"Silver perpetual calendar, dated 1765",WHOLE,SCM - Time Measurement
1944-9,pocket watch,"Gold Pocket Watch with Crystal Tourbillon Mechanism by Fordsmand, 1910","Fordsmand, W.",1910,"London, Greater London, England, United Kingdom",glass; steel (metal); enamel; gold; crystal,"overall: 18 mm x 51 mm x 73 mm, 0.105kg","Gold keyless crystal tourbillon watch by W. Fordsmand, London, 1910",WHOLE,SCM - Time Measurement
1944-12,Universal ring sundial,Universal ring dial in small wooden case,,,,,,Universal ring dial in small wooden case,WHOLE,SCM - Time Measurement
1944-43,plate horizontal sundial,Horizontal sundial in brass dated 1624 and marked with conve,,1624,,sundial: brass,overall: 230 mm x 240 mm,"Horizontal sundial in brass dated 1624 and marked with conventional and Italian hours. Astronomical hours crudely engraved on the underside, lunar volvelle replaced and gnomon missing",WHOLE,SCM - Time Measurement
1945-89,pocket watch; cylinder watch,Silver Geneva cylinder watch with lifting cups for winding a,,,,,,Silver Geneva cylinder watch with lifting cups for winding and setting hands,WHOLE,SCM - Time Measurement
1945-90,,Waterbury watch movement,,,,,,Waterbury watch movement,WHOLE,SCM - Time Measurement
1946-171,horizontal sundial plate with pin gnomon,"Slate plate from a sundial, horizontal, and showing Italian",,,Italy,,"overall: 195 mm x 195 mm x 5 mm,","Slate plate from a sundial, horizontal, and showing Italian hours.  Probably Italian.",WHOLE,SCM - Time Measurement
1946-193,electrically-driven free pendulum clock with rolling balls,"Example of the free pendulum clock by Capt.E.E. Craig, maint","Craig, E. E., Capt.",,,balls: steel; right-hand switch: mercury; dome: glass; circular cover plate: brass,,"Example of the free pendulum clock by Capt.E.E. Craig, maintained by rolling balls. With glass dome (cracked), miscellaneous components and circular brass cover plate",WHOLE,SCM - Time Measurement
1946-237,mechanical clock components,Sectioned motor of the 'Atmos' clock,De Trevars Ltd.,1920-1946,"London, England, United Kingdom","steel (metal); brass (copper, zinc alloy); metal (unknown)","overall: 60 mm x 130 mm x 100 mm, weight: 0.44kg","Sectioned motor of the 'Atmos' clock, by De Trevars Limited, London, England, 1920-1946.",WHOLE,SCM - Time Measurement
1947-99,free balance electrical escapement,Working example of a free balance electrical escapement inve,,,,,,"Working example of a free balance electrical escapement invented by S.J. Smith Esq., about 1930",WHOLE,SCM - Time Measurement
1947-114,electrically-driven pendulum clock,"'Clinker' electric-mains-driven pendulum clock, in oak case,",British Thomson-Houston Co. Ltd,1920-1947,United Kingdom,"iron; wood (unidentified); glass; brass (copper, zinc alloy); steel (metal)",overall: 210 mm x 150 mm x 95 mm,"'Clinker' electric-mains-driven pendulum clock, in oak case, for 50 cycles, 200-250 volts, by British Thomson-Houston Co. Ltd., United Kingdom, 1920-1947.",WHOLE,SCM - Time Measurement
1947-280,compass; sundial,Universal Compass and Sundial in brass,"Bithray, Stephen",1826-1860,"London, England, United Kingdom","brass (copper, zinc alloy); glass; steel (metal)","overall: 19 mm x 73 mm x 66 mm, weight: 0.125kg","Brass universal compass dial by Bithray, Royal Exchange, London, England, 1826-1860 (see note).",WHOLE,SCM - Time Measurement
1951-288,clocks; electrically-driven pendulum clocks; pulsynthetic time transmitters,"Pulsynetic master clock, type C7.",Gent and Company Ltd.,,Leicester; England,"wood (unidentified); glass; steel (metal); cast iron; brass (copper, zinc alloy); copper (metal)",overall: 1550 mm x 295 mm x 180 mm,"Pulsynetic time transmitter type C7, in special case with movement dropped so as to be visible, by Gent and Company Ltd of Leicester, England. Exchanged in August 1951 with the earlier Pulsynetic transmitter (1913-166).",WHOLE,SCM - Time Measurement
1951-302,mean-time sundial,"Ferguson solar chronometer, Serial Number: 183 Registered No",Ferguson,,,,"overall: 90 mm x 100 mm x 120 mm,","Ferguson solar chronometer, Serial Number: 183 Registered No. 576942",WHOLE,SCM - Time Measurement
1951-568,weight-driven balance wheel clock,"Small Japanese clock in the form of an ""inro""",,,,,"overall: 88 mm x 52 mm x 27 mm,","Small Japanese clock in the form of an ""inro""",WHOLE,SCM - Time Measurement
1952-1,watch,"Minature Gold Watch by Piquet & Meylon,1835-1845",Piguet and Meylan,1825-1845,"Geneva, Geneva canton, Switzerland",watch: gold; dial: enamel,"overall (mount): 9 mm x 50 mm x 61 mm, 0.055kg; diameter: 9 mm","Gold lever watch 9mm. in diameter, with engine-turned back and enamel dial, the inside of the case stamped ""P.M"", 1835-1845. With special winding key",WHOLE,SCM - Time Measurement
1952-59,pocket watch; cylinder watch,Pocket stop watch with case,"Ellicott, John",1790-1810,"London, England, United Kingdom","enamel; brass (copper, zinc alloy); steel (metal)","overall: 25 mm x 43 mm, weight: 0.075kg","Centre-seconds stop-watch movement on stand, cylinder escapement, by John Ellicott, London, England, 1790-1810.",WHOLE,SCM - Time Measurement
1952-184,incense clock,Chinese incense clock with one extra tray and maze,,,,,"overall: 85 mm x 80 mm x 80 mm,",Chinese incense clock with one extra tray and maze,WHOLE,SCM - Time Measurement
1952-186,photograph,"Three mounted photographs showing the transit telescope, tap",,,,,overall: 370 mm x 390 mm,"Three mounted photographs showing the transit telescope, tape chronograph and computing room",WHOLE,SCM - Time Measurement
1952-187,,Four mounted photographs showing quartz oscillators and thei,,,,,overall: 420 mm x 340 mm,Four mounted photographs showing quartz oscillators and their ovens,WHOLE,SCM - Time Measurement
1952-188,,"Three mounted photographs showing phonic motor, signal formi",,,,,overall: 370 mm x 390 mm,"Three mounted photographs showing phonic motor, signal forming unit and send relay units",WHOLE,SCM - Time Measurement
1952-189,,"Three mounted photographs showing receiving set, phonic moto",,,,,overall: 370 mm x 387 mm,"Three mounted photographs showing receiving set, phonic motor and decimal counter",WHOLE,SCM - Time Measurement
1952-190,,Mounted photograph showing the control room,,,,,overall: 388 mm x 472 mm,Mounted photograph showing the control room,WHOLE,SCM - Time Measurement
1952-233,scaphe sundial,"Hemispherical sundial, brass. Inscribed: ""Hyeronimus Vulpari","Vulpariae, Hyeronimus",1580,"Florence, Firenze, Tuscany, Italy",brass (alloy); hemispherical; octagonal; chronological; inscription; vertical,width of base:  178 mm,"Hemispherical sundial, brass. Inscribed: ""Hyeronimus Vulpariae Florentinus Faciebat A.D. MDLXXX"". On octagonal base, 7 inches wide",WHOLE,SCM - Time Measurement
1952-235,diptych sundial,Ivory tablet compass sundial,"Ducher, Hans",1574,"Nuremburg, Germany","ivory; string; bronze (copper, tin alloy)","overall: 11 mm x 60.325 mm x 95.25 mm, weight: 0.1kg","Ivory tablet compass sundial; 3 3/4 x 2 3/8 x 7/16-inches. Made by Hans Ducher, Nuremberg, Germany, 1574. (Compass needle and glass missing.) (See note.)",WHOLE,SCM - Time Measurement
1952-255,spring-driven deck watch,"""Karrusel"" deck watch by R. Thorneloe of Coventry. Case hall","Thorneloe, Richard",hallmarked 1897,"Coventry, West Midlands, England, United Kingdom",chronological; springs (elastic objects); hallmark; attachment; wood,"overall: 115 mm x 94 mm x 67 mm,","""Karrusel"" deck watch by R. Thorneloe of Coventry. Case hall-marked Chester 1897. In fitted wooden box",WHOLE,SCM - Time Measurement
1952-296,timer; programme clock,Modern Swedish programme clock,Industiaktiebolaget Reflex,,"Stockholm, Sweden",clock face disc: glass; fifty balls: steel; ball removal comb: plastic,"overall: 190 mm x 190 mm x 150 mm,",Modern Swedish programme clock,WHOLE,SCM - Time Measurement
1952-312,table clock; astronomical clock,"17th century Augsburg clock, on wooden plinth and with windi",,1601-1700,"Augsburg, Schwaben, Bavaria, Germany",wood; chronological; astronomical; pendulum; springs (elastic objects); key (hardware),overall: 320 mm x 255 mm,"17th century Augsburg clock, on wooden plinth and with winding key and replaced parts",WHOLE,SCM - Time Measurement
1947-310,quartz clocks; quartz clock equipment; frequency divider units,"Quartz crystal clock, 1942.","General Post Office Research Station, Dollis Hill",,Dollis Hill; London; England,,"overall: 650 mm x 470 mm x 170 mm,","Quartz clock equipment, mounted on 6'6"" standard rack, R.3191, with box of accessories and spare frequency divider unit",WHOLE,SCM - Time Measurement
1947-311,quartz clock mechanism,Exhibit illustrating quartz technique.,,,,,,Exhibit illustrating quartz technique.,WHOLE,SCM - Time Measurement
1958-248,wristwatch,"Hamilton Electric Wrist- Watch, 1957","Hamilton Watch Company; Arbib, Richard, 1917-1995",1957,"Lancaster, Pennsylvania, United States",leather; plastic (unidentified); gold (metal); metal (unknown),"watch case: 10 mm x 190 mm x 33 mm, weight: 0.025kg, watch battery (in plastic mount): 6 mm x 28 mm x 28 mm, watch movement: 30 mm x 38 mm x 38 mm, weight: 0.025kg.","Complete Hamilton electric watch movement, also watch-case, strap and one spare battery, designed by Richard Arbib, made by the Hamilton Watch Company, Lancaster, Pennsylvania, United States, 1957.",WHOLE,SCM - Time Measurement
1959-9,,"Watch inscribed: ""LEZEL, Sr",Lezel (maker),,"Paris, Ville de Paris, Île-de-France, France",,,"Watch inscribed: ""LEZEL, Sr. de Blondeau, Hger du Roi, Rue de la Paix 23 a Paris, No.2722"" . In gold hunter case with 3 keys. (Glass broken)",WHOLE,SCM - Time Measurement
1954-175,,"Centre-seconds impulse dial movement, with hands and enamell",,,,,"overall: 155 mm x 128 mm x 60 mm,","Centre-seconds impulse dial movement, with hands and enamelled dial",WHOLE,SCM - Time Measurement
1954-184,Gothic clock; weight-driven balance wheel clock,German 16th century iron chamber clock,Unknown maker,1501-1600,Germany,iron,,German 16th century iron chamber clock,WHOLE,SCM - Time Measurement
1954-185,weight-driven pendulum clock,"Italian copper-gilt chamber clock by Camerini of Turin, 1656",Camerini,1656,"Turin, Torino, Piedmont, Italy",copper-gilt,,"Italian copper-gilt chamber clock by Camerini of Turin, 1656",WHOLE,SCM - Time Measurement
1954-188,spring-driven watch; verge escapement; pocket watch,"Oval, silver 'Puritan' pocket watch",Unknown maker,1645-1655,Europe,silver (metal); glass,"overall: 26 mm x 43 mm x 53 mm, weight: 0.11kg","Oval, silver 'Puritan'  pocket watch with worm regulator for balance-spring, unknown maker, possibly Italian, 1645-1655.",WHOLE,SCM - Time Measurement
1954-189,spring-driven circular watch; wandering hour-figure,"Circular watch by William Crayle in the Strand, with wanderi","Crayle, William",ca. 1660,"Strand, Strand, City of Westminster, London, Greater London, England, United Kingdom",,,"Circular watch by William Crayle in the Strand, with wandering hour-figure. With an outer pair case",WHOLE,SCM - Time Measurement
1954-457,cold cathode tube frequency divider,"Cold cathode frequency divider, 50 c.p.s. to one c.p.s. (Con",United Kingdom. General Post Office. Department of Engineering; National College of Horology,1954,"London, Greater London, England, United Kingdom",,,"Cold cathode frequency divider, 50 c.p.s. to one c.p.s. (Constructed from components purchased by Sc.M. from the P.O. Eng. Dept. for #12.10.1 and from the Natl. College of Horology for #4.12.6)",WHOLE,SCM - Time Measurement
1954-458,spring-driven pendulum clocks; verge escapements,Spring-driven pendulum clock,"Thuret, Isaac",1665-1681,"Paris, France","glass; wood (unidentified); brass (copper, zinc alloy); steel (metal)",overall: 420 mm x 276 mm x 120 mm,"A Bracket clock by Isaac Thuret, made while he was in Paris, France, 1665-1681.",WHOLE,SCM - Time Measurement
1954-578,spring-driven watch; verge escapement; pocket watch,German pocket watch in oval brass case,Unknown maker,1574-1600,Germany,"iron; brass (copper, zinc alloy)","overall: 23 mm x 42 mm x 71 mm, weight: 0.105kg","Oval pocket watch with iron movement in brass case, stackfeed controller, unknown maker, Germany, 1574-1600.",WHOLE,SCM - Time Measurement
1954-580,spring-driven pendulum clocks; verge escapements,"Spring-driven pendulum clock by Johannes van Ceulen of The Hague, c. 1695","van Ceulen, Johannes",1670-1680,The Hague; Netherlands,case: wood,,"Dutch bracket clock by Johannes van Ceulen of the Hague, in wooden case",WHOLE,SCM - Time Measurement
1955-94,,Movement of 4-train 17th century alarm and striking table-cl,,,,,"overall: 150 mm x 145 mm x 145 mm,",Movement of 4-train 17th century alarm and striking table-clock,WHOLE,SCM - Time Measurement
1955-149,scaphe sundial,South German cup (scaphe or goblet) sundial dated 1596 for l,,1596,Germany,,,"South German cup (scaphe or goblet) sundial dated 1596 for latitude 42 degrees, showing equal, temporal and Italian hours",WHOLE,SCM - Time Measurement
1955-175,,Small coil of insulated twin conductor wire made by the Silv,Silverton Co. (maker),,,,"overall: 7 mm,",Small coil of insulated twin conductor wire made by the Silvertown Co. and employed for connecting Wheatstone electro-magnetic clocks about 1860,WHOLE,SCM - Time Measurement
1955-195,,Working model of a pivoted detent escapement by Courvoisier,Courvoisier and Compagnie,,,,overall: 135 mm x 125 mm,"Working model of a pivoted detent escapement by Courvoisier and Cie., No.8745 with key",WHOLE,SCM - Time Measurement
1955-200,,Movement of electric gravity escapement clock by the late G,"Bowell, G.B. (maker)",,,,"overall: 200 mm x 105 mm x 95 mm,",Movement of electric gravity escapement clock by the late G.B. Bowell,WHOLE,SCM - Time Measurement
1973-233,pocket watch,Waterbury 'long-wind' pocket watch,Waterbury Watch Co. (maker),,"Waterbury, Connecticut, United States",silver (metal); paper (fibre product); glass,"overall: 17 mm x 50 mm x 61 mm, weight: 0.085kg","Waterbury long-wind watch, Series E, by the Waterbury Watch Company, Waterbury, Connecticut, United States. Mainspring eye broken; winding button missing.",WHOLE,SCM - Time Measurement
1973-288,sundial,"Modern Solar Chronometer, Telling Mean Time, 1973","Tuttle, Edward .X.",1973,Unknown place,aluminium alloy; plastic (unidentified); steel (metal),,"Universal sunclock-calendar, invented by Edward X. Tuttle, 1973. It tells the mean time by using a 'time wire' and two ' day wires', the point where these shadows meet indicates the time and date.",WHOLE,SCM - Time Measurement
1973-550,,"Kerrussell watch Bonniksen type, sold by Russell of Liverpoo",,,,,,"Kerrussell watch Bonniksen type, sold by Russell of Liverpool",WHOLE,SCM - Time Measurement
1974-387,movement - clockwork,"Winding Mechanism for Reconstruction of Dondi's Astrarium, 1961-1974",Thwaites and Reed Ltd.,1961-1974,"Brighton, Brighton and Hove, England, United Kingdom","brass (copper, zinc alloy); rope; lead (metal)","overall: 1130 mm 670 mm,","Electrical winding mechanism for reconstruction of Dondi clock.  Reconstruction made from detailed account of astrarium written by Dondi, 1961-1974",WHOLE,SCM - Time Measurement
1974-546,bracket clocks,"Pendulum Clock by Edward Burges, c. 1690","Burges, Edward",1690-1700,"London, Greater London, England, United Kingdom; England",brass; steel; silver (alloy); gold; bronze; complete,overall: 260 x 290 x 110 mm,Movement of bracket clock by Edward Burges,WHOLE,SCM - Time Measurement
1974-560,,American Ogee wall clock by Jerome,Jerome (maker),,United States,,,American Ogee wall clock by Jerome,WHOLE,SCM - Time Measurement
1974-628,pocket watch,"Patent Pocket Watch by Samuel Smith, 1810-1815",Samuel Smith,1810-1815,Coventry,"steel (metal); enamel; brass (copper, zinc alloy); silver (metal)","overall: 24 mm x 56 mm x 77 mm, .14kg","Patent watch by Samuel Smith of Coventry, 1810-1815",WHOLE,SCM - Time Measurement
1975-13,chronometer,"Omega Marine Chronometer, 1950-1976",Omega; SSIH (UK) Ltd.,1950-1976,Switzerland,"stainless steel; brass (copper, zinc alloy); glass","overall: 13 mm x 256 mm x 31 mm, 0.135kg","Omega Megaquartz 2400 marine chronometer, 1950-1976",WHOLE,SCM - Time Measurement
1975-122,,"Chronolog International 3, solid state time computer",Chronolog International (maker),,,,,"Chronolog International 3, solid state time computer",WHOLE,SCM - Time Measurement
1975-171,movement - clockwork,"Chronometer Mechanism by Twyford, 1860-1920","Twyford, Robert",1860-1920,"London, Greater London, England, United Kingdom","enamel; steel (metal); brass (copper, zinc alloy)","overall: 15 mm 48 mm, 0.065kg","Pocket chronometer movement by Robert Twyford, 1860-1920",WHOLE,SCM - Time Measurement
1975-220,,"Mail guard's watch by John Walker W490 Princes Street, Leice","Walker, John (maker)",,"London, Greater London, England, United Kingdom",,"overall: 98 mm x 75 mm x 38 mm,","Mail guard's watch by John Walker W490 Princes Street, Leicester Square",WHOLE,SCM - Time Measurement
1975-221,,Full plate fusee watch by Wm,"Potts, Wm. (maker); Potts, Wm. (maker)",,"Newcastle upon Tyne, Newcastle upon Tyne, Tyne and Wear, England, United Kingdom; Leeds, West Yorkshire, England, United Kingdom",,,Full plate fusee watch by Wm. Potts of Leeds and Newcastle NER 55,WHOLE,SCM - Time Measurement
1975-222,,"3/4 plate keywind watch by Seth Thomas, serial no","Thomas, Seth (maker)",1893,,,,"3/4 plate keywind watch by Seth Thomas, serial no. 516609, back of case stamped, MR G 1792, made in 1893",WHOLE,SCM - Time Measurement
1975-244,clock,"Quartz master clock QM 1, supplied by English Clock Systems",English Clock Systems; Patek Philippe,1965-1975,Switzerland,,overall: 325 mm x 263 mm x 95 mm,"Quartz master clock QM 1, with movement by Patek Phillippe, Switzerland, 1965-1975. Supplied by English Clock Systems.",WHOLE,SCM - Time Measurement
1975-248/1,,Dent's Portable Registering Tell Tale no. 44416,E. Dent & Co.,,,,overall: 95 mm x 50 mm,Dent's Portable Registering Tell Tale no. 44416,WHOLE,SCM - Time Measurement
1975-248/3,,Leather carrying case for Tell Tale,,,,,"overall: 135 mm x 145 mm x 75 mm,",Leather carrying case for Tell Tale,WHOLE,SCM - Time Measurement
1975-318,Inclined plate equinoctial sundial; sundial,'Sunclock' optical sundial,"Sunclocks; Benoy, Walter Gordon",1960-1975,"Nottinghamshire, England, United Kingdom",plastic (unidentified); wood (unidentified),"overall: (height) 100 mm x (diameter) 445 mm, weight: 1.24kg","'Sunclock' optical sundial, designed and made by Walter Gordon Benoy for Sunclocks, High Street, Collingham, Newark, Nottinghamshire, England, 1960-1975.",WHOLE,SCM - Time Measurement
1976-515,wrist-watch,"Longines 'Ultraquartz Cybernetic' Quartz Analogue Wristwatch, 1969-70.","Longines Watch Company, Francillon Ltd",1969-1970,Saint-Imier; Switzerland,leather; stainless steel,"overall: 125 mm x 40 mm, .06kg","Ultraquartz ""Cybernetic"" quartz analogue wristwatch by Longines, Switzerland, c.1969. With seconds hand and date indicator. An example of the first quartz wristwatch of European origin. Case back marked '16' and '228794'.",WHOLE,SCM - Time Measurement
1976-516,,Digital desk clock type B21 with fitted case,Longines (maker),,Switzerland,,,Digital desk clock type B21 with fitted case,WHOLE,SCM - Time Measurement
1965-1,chart,"Chart entitled The Equation of Time, Science Museum, 1964-1965",Science Museum,1964-1965,"South Kensington, Kensington and Chelsea, London, Greater London, England, United Kingdom",birch plywood,"overall: 485 mm x 570 mm x 10 mm,","Coloured chart entitled The Equation of Time, Science Museum, London, England, 1964-1965. It shows the difference beween mean and solar time for the separate influences of the earth orbit and its axis.",WHOLE,SCM - Time Measurement
1965-4,water clock; model - representation,"Working model of a drum water-clock, 1955-1965",Unknown maker,1955-1965,Unknown place,,,"Working model of a drum water-clock, with canopy and separate metal part, unsigned, 1955-1965",WHOLE,SCM - Time Measurement
1965-5,reconstruction; movement - clockwork,"Reconstruction of Hook's Pendulum Demonstration,1955-1965","Aimer, M. C.",1955-1965,United Kingdom,"brass (copper, zinc alloy); steel (metal)",length: 12 ft. or 3658 mm,"Reconstruction of Hooke's demonstration of a long pendulum controlled by a watch,1955-1965",WHOLE,SCM - Time Measurement
